Stock,LSTM (MAE),SVR_Linear (MAE),SVR_Polynomial (MAE),SVR_Rbf (MAE),Random Forest (MAE),Gradient Boosting (MAE),LSTM (MSE),SVR_Linear (MSE),SVR_Polynomial (MSE),SVR_Rbf (MSE),Random Forest (MSE),Gradient Boosting (MSE),LSTM (Dir. Symm.),SVR_Linear (Dir. Symm.),SVR_Polynomial (Dir. Symm.),SVR_Rbf (Dir. Symm.),Random Forest (Dir. Symm.),Gradient Boosting (Dir. Symm.),Model
GAIL,0.7355504366321364,0.0,0.13080129026769124,0.02467041282923438,0.9481722068404504,0.9999999999999999,0.9606303980828156,0.0,0.05773208030951754,0.010443530296757694,0.9222922613587575,1.0,48.44192634560906,48.79603399433427,48.937677053824366,50.07082152974505,47.80453257790368,48.22946175637394,SVR-Rbf
GRASIM,0.7785754556118031,0.6147313795605952,0.9999999999999999,0.7389314912887736,0.037050503574444504,0.0,0.909010160218228,0.5229966960427439,0.9999999999999999,0.7738492020351132,0.01332573081088656,0.0,53.54107648725213,52.62039660056658,51.13314447592068,50.35410764872521,50.35410764872521,52.19546742209632,Gradient Boosting
HCLTECH,1.0,0.5513544129656032,0.35591758673553114,0.7114947558865303,0.004694185892829189,0.0,1.0000000000000002,0.3174615300944992,0.25601645480214774,0.49813899504342635,0.0037883566227003285,0.0,47.80453257790368,48.158640226628904,49.150141643059484,48.158640226628904,47.875354107648725,47.096317280453256,SVR-Polynomial
HDFCBANK,0.43324269633008833,0.7130626336840207,0.758734137557278,0.9999999999999999,0.018271504955311477,0.0,0.3447585309468335,0.5816537801967201,0.8280983202842902,1.0,0.002870541052926015,0.0,50.35410764872521,49.787535410764875,48.654390934844194,49.787535410764875,48.371104815864015,50.07082152974505,Gradient Boosting
HDFC,0.4410173836712157,0.6827436047186797,0.7055393501729863,1.0,0.030874946122100733,0.0,0.2857718900463958,0.5715997335073705,0.6730174406377588,1.0,0.017050187364479497,0.0,50.63739376770538,49.57507082152974,48.30028328611897,49.150141643059484,51.13314447592068,51.20396600566573,Gradient Boosting
HEROMOTOCO,0.5325381319435819,0.5541851057488135,1.0,0.8476609983984459,0.06238833617552597,0.0,0.47572855466467034,0.38964171019579963,0.9999999999999999,0.7450023617163182,0.027603828661238256,0.0,50.56657223796034,49.64589235127479,50.49575070821529,50.77903682719547,50.49575070821529,50.14164305949008,Random Forest
HINDALCO,0.5612743176822926,0.39586040438931447,0.9396903727950706,1.0,0.12050356529184514,0.0,0.5737783411395507,0.2555746007270339,1.0000000000000002,0.9924003554118399,0.10459171532591421,0.0,48.01699716713881,48.30028328611897,49.787535410764875,50.212464589235125,49.504249291784696,49.504249291784696,Gradient Boosting
HINDPETRO,0.4106113616346025,0.5625867110781533,0.6659652940050105,1.0,0.011921846995362084,0.0,0.36515099829591613,0.4499688781934408,0.6484858524211129,0.9999999999999999,0.0018518428161931888,0.0,48.158640226628904,50.35410764872521,50.70821529745042,50.70821529745042,48.44192634560906,48.01699716713881,Random Forest
HINDUNILVR,0.6336129396242556,0.30605289610576286,0.7905235278334555,1.0,0.09002115595950494,0.0,0.5492879538047516,0.19872791565414596,0.9129029133153732,1.0,0.05225566589149713,0.0,50.28328611898017,49.362606232294624,49.43342776203966,50.212464589235125,49.43342776203966,48.86685552407932,Random Forest
IBULHSGFIN,1.0,0.21711191016302459,0.5827051034609148,0.764708701661994,0.023366336932664517,0.0,1.0000000000000002,0.046828632671657294,0.307658455582858,0.4091163115790885,0.0,0.0023656201038255234,48.44192634560906,49.008498583569406,48.22946175637394,48.79603399433427,48.371104815864015,51.69971671388102,Gradient Boosting
